Location_Name,Address_Line_1,City,State,Zipcode,Extended_Address,Latitude,Longitude,Score,Zone,Meeting_Name,Details,Day,Start,End,Type,SpecialInterest
"469 West 142nd Street",469 West 142nd Street,New York,NY,10031,"469 West 142nd Street,1st Floor,Betw. Amsterdam & Convent Avenues,10031",40.8232166,-73.9484769,100,08,"Grupo Trasmitelo","undefined",Thursdays,8:00 PM,9:00 PM,B,undefined
"St. Mary's Episcopal",521 West 126th St,New York,NY,10027,"521 West 126th St,Amsterdam & Old Broadway 10027",40.8148408,-73.9561515,100,08,"Harlem Humanists","undefined",Mondays,12:00 PM,1:00 PM,O,undefined
"SRO Building Community Room",109 West 129th Street,New York,NY,10027,"109 West 129th Street,Basement,Betw Lenox Avenue & Adam Clayton Powell Blvd,NY 10027",40.8106798,-73.944244,100,08,"K.i.s.s.","undefined",Sundays,5:30 PM,6:30 PM,S,undefined
"SRO Building Community Room",109 West 129th Street,New York,NY,10027,"109 West 129th Street,Basement,Betw Lenox Avenue & Adam Clayton Powell Blvd,NY 10027",40.8106798,-73.944244,100,08,"K.i.s.s.","undefined",Sundays,7:00 PM,8:00 PM,B,undefined
"Our Lady of Lourdes",469 West 142nd Street,New York,NY,10031,"469 West 142nd Street,Basement,Betw Convent & Amsterdam Avenues,NY 10031",40.8232166,-73.9484769,100,08,"Learning To Live Sober","undefined",Thursdays,6:00 PM,7:00 PM,BB,undefined
"2044 Seventh Avenue",2044 Seventh Avenue,New York,NY,10027,"2044 Seventh Avenue,NY 10027",40.8071759186691,-73.9497519327616,100,08,"Living Clean And Sober On 121st Street","undefined",Sundays,6:00 PM,7:30 PM,B,undefined
"S.A.G.E.",127 West 127th Street,New York,NY,10027,"127 West 127th Street,Betw. 7th and Lenox,NY 10027",40.7467107,-73.9935208,100,08,"Meditation Comes To Harlem","undefined",Mondays,4:30 PM,5:30 PM,C,undefined
"S.A.G.E.",127 West 127th Street,New York,NY,10027,"127 West 127th Street,Betw. 7th and Lenox,NY 10027",40.7467107,-73.9935208,100,08,"Abingdon Square In Chelsea","undefined",Wednesdays,8:00 PM,9:00 PM,OD,undefined
"Grace Congregational Baptist Church",310 West 139th Street,New York,NY,10037,"310 West 139th Street,Basement,Betw Eighth & Edgecombe Avenues,NY 10037",40.8192096,-73.9453784,99.4674556213018,08,"Mid-harlem","undefined",Mondays,7:00 PM,8:00 PM,S,undefined
"Grace Congregational Baptist Church",310 West 139th Street,New York,NY,10037,"310 West 139th Street,Basement,Betw Eighth & Edgecombe Avenues,NY 10037",40.8192096,-73.9453784,99.4674556213018,08,"Mid-harlem","undefined",Fridays,7:00 PM,8:00 PM,B,undefined
"Grace Congregational Baptist Church",310 West 139th Street,New York,NY,10037,"310 West 139th Street,Basement,Betw Eighth & Edgecombe Avenues,NY 10037",40.8192096,-73.9453784,99.4674556213018,08,"Mid-harlem","undefined",Fridays,8:00 PM,9:00 PM,O,undefined
"St. James Church",409 West 141st Street,New York,NY,10031,"409 West 141st Street,Basement,St. Nicholas Avenue,NY 10031",40.7713251,-73.9655852,100,08,"Monday Night Challenge","undefined",Mondays,7:00 PM,8:00 PM,B,undefined
"St. James Church",409 West 141st Street,New York,NY,10031,"409 West 141st Street,Basement,St. Nicholas Avenue,NY 10031",40.7713251,-73.9655852,100,08,"Park Bench   (:Ii)","undefined",Wednesdays,12:30 PM,1:30 PM,C,undefined
"St. James Church",409 West 141st Street,New York,NY,10031,"409 West 141st Street,Basement,St. Nicholas Avenue,NY 10031",40.7713251,-73.9655852,100,08,"Park Bench   (:Ii)","undefined",Thursdays,12:30 PM,1:30 PM,C,undefined
"Riverside Church",91 Claremont Avenue,New York,NY,10027,"91 Claremont Avenue,4th Floor,Room 414,Betw. Broadway & Riverside Drive,NY 10027",40.8119559,-73.9625116,100,08,"Primary Purpose","undefined",Sundays,3:00 PM,4:00 PM,OD,undefined
"Riverside Church",91 Claremont Avenue,New York,NY,10027,"91 Claremont Avenue,4th Floor,Room 414,Betw. Broadway & Riverside Drive,NY 10027",40.8119559,-73.9625116,100,08,"Riverside","undefined",Mondays,7:00 PM,8:00 PM,C,undefined
"Upper Manhattan Mental Health Center",1727 Amsterdam Avenue,New York,NY,10031,"1727 Amsterdam Avenue,1st Floor in the rear.,145th Street,NY 10031",40.8255289,-73.9471616,100,08,"Promises Two For One","undefined",Sundays,9:30 AM,10:30 AM,B,undefined
"Upper Manhattan Mental Health Center",1727 Amsterdam Avenue,New York,NY,10031,"1727 Amsterdam Avenue,1st Floor in the rear.,145th Street,NY 10031",40.8255289,-73.9471616,100,08,"Promises Two For One","undefined",Sundays,11:00 AM,12:00 PM,C,undefined
"St. Aloysius School",219 West 132nd Street,New York,NY,10027,"219 West 132nd Street,Cafeteria,Betw. Adam Clayton Powell Blvd. & F. Douglass Blvd.,NY 10027",40.8138548,-73.9459315,100,08,"Riverton","undefined",Saturdays,3:00 PM,4:00 PM,B,undefined
"St. Aloysius School",219 West 132nd Street,New York,NY,10027,"219 West 132nd Street,Cafeteria,Betw. Adam Clayton Powell Blvd. & F. Douglass Blvd.,NY 10027",40.8138548,-73.9459315,100,08,"Riverton","undefined",Saturdays,6:00 PM,7:00 PM,O,undefined
"St. Aloysius School",219 West 132nd Street,New York,NY,10027,"219 West 132nd Street,Cafeteria,Betw. Adam Clayton Powell Blvd. & F. Douglass Blvd.,NY 10027",40.8138548,-73.9459315,100,08,"Riverton","undefined",Tuesdays,8:00 PM,9:00 PM,undefined,undefined
