Location_Name,Address_Line_1,City,State,Zipcode,Extended_Address,Meeting_Name,Day,Start,End,Type
St. Thomas More Church Rectory,65 East 89th Street,New York,NY,10128,"St. Thomas More Church Rectory,65 East 89th Street,Betw Madison & Park Avenues,NY 10128",friday night men's step,Fridays,6:15 PM,7:15 PM,S
Church of Saint Thomas Moore,65 East 89th Street,New York,NY,10128,"Church of Saint Thomas Moore,65 East 89th Street,Rectory basement,10128",humanists too,Mondays,6:15 PM,7:15 PM,Agnostic
St. Francis de Sales Church,135 East 96th Street,New York,NY,10128,"St. Francis de Sales Church,135 East 96th Street,between Lexington and Park Avenues,NY 10128",into action manhattan,Wednesdays,6:30 PM,7:30 PM,S
Jan Hus Presbyterian Church,351 East 74th Street,New York,NY,10021,"Jan Hus Presbyterian Church,351 East 74th Street,2nd Floor Kitchen,Betw. 1st & 2nd Avenues,10021",kitchen table meeting,Saturdays,11:00 AM,12:00 PM,C
Jan Hus Presbyterian Church,351 East 74th Street,New York,NY,10021,"Jan Hus Presbyterian Church,351 East 74th Street,2nd Floor Kitchen,Betw. 1st & 2nd Avenues,10021",madison 73,Saturdays,7:00 PM,8:00 PM,B
Jan Hus Presbyterian Church,351 East 74th Street,New York,NY,10021,"Jan Hus Presbyterian Church,351 East 74th Street,2nd Floor Kitchen,Betw. 1st & 2nd Avenues,10021",madison 73,Saturdays,7:00 PM,8:00 PM,S
Church of the Heavenly Rest,2 East 90th Street,New York,NY,10128,"Church of the Heavenly Rest,2 East 90th Street,Betw 5th & Madison Avenues,NY 10128",lenox hill,Mondays,7:00 PM,8:00 PM,B
Church of the Heavenly Rest,2 East 90th Street,New York,NY,10128,"Church of the Heavenly Rest,2 East 90th Street,Betw 5th & Madison Avenues,NY 10128",lenox hill,Mondays,7:00 PM,8:00 PM,S
Church of the Heavenly Rest,2 East 90th Street,New York,NY,10128,"Church of the Heavenly Rest,2 East 90th Street,Betw 5th & Madison Avenues,NY 10128",lenox hill,Thursdays,7:00 PM,8:00 PM,O
Church of the Heavenly Rest,2 East 90th Street,New York,NY,10128,"Church of the Heavenly Rest,2 East 90th Street,Betw 5th & Madison Avenues,NY 10128",lenox hill,Thursdays,8:15 PM,9:00 PM,B
Church of the Heavenly Rest,2 East 90th Street,New York,NY,10128,"Church of the Heavenly Rest,2 East 90th Street,Betw 5th & Madison Avenues,NY 10128",lenox hill,Mondays,8:15 PM,9:00 PM,C
Church of the Heavenly Rest,2 East 90th Street,New York,NY,10128,"Church of the Heavenly Rest,2 East 90th Street,Betw 5th & Madison Avenues,NY 10128",three twelves,Tuesdays,12:00 PM,1:00 PM,C
Church of the Heavenly Rest,2 East 90th Street,New York,NY,10128,"Church of the Heavenly Rest,2 East 90th Street,Betw 5th & Madison Avenues,NY 10128",three twelves,Thursdays,12:00 PM,1:00 PM,C
